"MOD_NAME","ITM_NAME","PAG_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML","ITM_REQUIRED","ITM_UNIQUE"
"AE","","AE","Adverse Event Log","","","","",""
"AE","AEOUTCOM","AE","Outcome","NUMBER","12","0","False","False"
"AE","AERELAT","AE","Relationship to Study","NUMBER","12","0","False","False"
"AE","AERELPRO","AE","Relationship to Study Procedure","NUMBER","12","0","False","False"
"AE","AESEVER","AE","Severity","NUMBER","12","0","False","False"
"AE","AETERM","AE","Adverse Event","CHAR","","","False","False"
"AE","CNO","AE","Site Number","NUMBER","12","0","True","False"
"AE","EVENT_ID","AE","Visit ID","CHAR","3","","True","False"
"AE","HLGTNAME","","High Level Group Term","CHAR","120","","",""
"AE","HLT_NAME","","High Level Term","CHAR","120","","",""
"AE","INFODT","AE","Assessment Date","DATE","","","True","False"
"AE","LAST_UPDATE","AE","Date of most recent update to record","DATE","","","True","False"
"AE","LLT_NAME","","Low Level Term","CHAR","100","","",""
"AE","ORIG_ENTRY","AE","Date of original data entry","DATE","","","True","False"
"AE","PAG_NAME","AE","Page Name","CHAR","12","","True","False"
"AE","PATNO","AE","Participant ID","NUMBER","18","0","True","False"
"AE","PT_CODE","","Preferred Term Code","NUMBER","15","0","",""
"AE","PT_NAME","","Preferred Term Name","CHAR","120","","",""
"AE","PWDTAE","AE","Premature Withdrawal due to AE","NUMBER","1","","False","False"
"AE","QUERY","AE","Any open/pending queries on this record","NUMBER","1","","False","False"
"AE","REC_ID","AE","Record ID","CHAR","36","","True","True"
"AE","SAE","AE","SAE","NUMBER","1","","False","False"
"AE","SEQNO","AE","Sequence Number","NUMBER","12","0","True","False"
"AE","SOCABBR1","","System Organ Class 1","CHAR","5","","",""
"AE","STARTDT","AE","Start Date","DATE","","","False","False"
"AE","STOPDT","AE","Stop Date","DATE","","","False","False"
"AE","VMEDDRA","","MedDRA Version","CHAR","8","","",""
"AGE_AT_VISIT","AGE_AT_VISIT","","Age at Visit","NUMBER","3","1","",""
"AGE_AT_VISIT","EVENT_ID","","Visit ID","TEXT","3","","",""
"AGE_AT_VISIT","PATNO","","Participant ID","NUMBER","18","0","",""
"AMBULATORY","age_seconds","","Participant's pseudo-age in seconds","DATE","0","0","",""
"AMBULATORY","subject","","Participant ID","CHAR","16","0","",""
"AMBULATORY","sum_walking_minutes","","Minutes in the day where the participant is walking, running, going up stairs, etc.","NUMBER","19","0","",""
"AMBULATORY","time_day","","Day of week","CHAR","3","0","",""
"AMBULATORY","time_local","","Time in participant's local time zone","TIME","8","0","",""
"AMBULATORY","time_ms","","Epoch time (Convert all millisecond timestamps in the PST (-7:00) timezone to get the day of week and local time)","CHAR","25","0","",""
"AVCNSNT","","AVCNSNT","Early Imaging Documentation of Informed Consent","","","","",""
"AVCNSNT","AVCNSTDISC","AVCNSNT","Informed consent was discussed with participant and/or legally authorized representative for the PPMI Early Imaging study.","NUMBER","1","","False","False"
"AVCNSNT","CNO","AVCNSNT","Site Number","NUMBER","12","0","True","False"
"AVCNSNT","CNSTAUTH","AVCNSNT","Informed consent obtained by person authorized on site delegation log.","NUMBER","1","","False","False"
"AVCNSNT","CNSTCOPY","AVCNSNT","Copy of the consent form was provided to the participant and/or legally authorized representative upon conclusion of the consent process.","NUMBER","1","","False","False"
"AVCNSNT","CNSTFORM","AVCNSNT","Consent form was provided to the participant and/or legally authorized representative for review.","NUMBER","1","","False","False"
"AVCNSNT","CNSTPRIR","AVCNSNT","Consent has been signed prior to any study procedures being performed.","NUMBER","1","","False","False"
"AVCNSNT","CNSTQA","AVCNSNT","During the informed consent process, the participant and/or authorized representative had the opportunity to ask questions and receive answers by study personnel.","NUMBER","1","","False","False"
"AVCNSNT","CNSTTIME","AVCNSNT","Participant and/or legally authorized representative were given adequate time to read the consent form and discuss the study with study staff and/or person of participant's choice.","NUMBER","1","","False","False"
"AVCNSNT","EVENT_ID","AVCNSNT","Visit ID","CHAR","3","","True","False"
"AVCNSNT","INFODT","AVCNSNT","Assessment Date","DATE","","","True","False"
"AVCNSNT","LAST_UPDATE","AVCNSNT","Date of most recent update to record","DATE","","","True","False"
"AVCNSNT","ORIG_ENTRY","AVCNSNT","Date of original data entry","DATE","","","True","False"
"AVCNSNT","PAG_NAME","AVCNSNT","Page Name","CHAR","12","","True","False"
"AVCNSNT","PATNO","AVCNSNT","Participant ID","NUMBER","18","0","True","False"
"AVCNSNT","QUERY","AVCNSNT","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVCNSNT","REC_ID","AVCNSNT","Record ID","CHAR","36","","True","True"
"AVCNSNT","SIGNCNST","AVCNSNT","Participant and/or legally authorized representative signed and dated the informed consent.","NUMBER","1","","False","False"
"AVCONCL","","AVCONCL","Early Imaging Conclusion of Study Participation","","","","",""
"AVCONCL","CNO","AVCONCL","Site Number","NUMBER","12","0","True","False"
"AVCONCL","EVENT_ID","AVCONCL","Visit ID","CHAR","3","","True","False"
"AVCONCL","INFODT","AVCONCL","Assessment Date","DATE","","","True","False"
"AVCONCL","LAST_UPDATE","AVCONCL","Date of most recent update to record","DATE","","","True","False"
"AVCONCL","ORIG_ENTRY","AVCONCL","Date of original data entry","DATE","","","True","False"
"AVCONCL","PAG_NAME","AVCONCL","Page Name","CHAR","12","","True","False"
"AVCONCL","PATNO","AVCONCL","Participant ID","NUMBER","18","0","True","False"
"AVCONCL","QUERY","AVCONCL","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVCONCL","REC_ID","AVCONCL","Record ID","CHAR","36","","True","True"
"AVCONCL","WDDT","AVCONCL","Withdrawal date","DATE","","","False","False"
"AVCONCL","WDRSN","AVCONCL","Reason for withdrawal","NUMBER","12","0","False","False"
"AVCONCL","WDRSNCM","AVCONCL","Other reason for withdrawal comment","CHAR","","","False","False"
"AVCONCL","WDRSNPD","AVCONCL","Did increasing PD disability contribute to the decision to withdraw from PPMI Early Imaging?","NUMBER","1","","False","False"
"AVELIG","","AVELIG","Early Imaging Eligibility","","","","",""
"AVELIG","AVCNSTDT","","AV-133 Informed consent date","DATE","","","",""
"AVELIG","CNO","AVELIG","Site Number","NUMBER","12","0","True","False"
"AVELIG","EVENT_ID","AVELIG","Visit ID","CHAR","3","","True","False"
"AVELIG","EXABCOND","AVELIG","Any other medical or psychiatric condition or lab abnormality, which in the opinion of the investigator might preclude participation","NUMBER","1","","False","False"
"AVELIG","EXAVRX1MO","AVELIG","Received any of the following medications that might interfere with 18F-AV-133 PET imaging: tetrabenazine (TBZ) or methylphenidate, reserpine, or amphetamine derivative, within 1 month prior to the Screening 18F-AV-133 injection.","NUMBER","1","","False","False"
"AVELIG","EXCARDDX","AVELIG","Have current clinically significant cardiovascular disease or abnormalities on screening ECG (including but not limited to QTc > 450 msec)","NUMBER","1","","False","False"
"AVELIG","EXRXQTPRO","AVELIG","Are currently taking medications that are known to cause QT-prolongation","NUMBER","1","","False","False"
"AVELIG","INCNST","AVELIG","Able to provide informed consent","NUMBER","1","","False","False"
"AVELIG","INEX1","","Inclusion Exclusion question 1","CHAR","1","","",""
"AVELIG","INFODT","AVELIG","Assessment Date","DATE","","","True","False"
"AVELIG","INPPMI2","AVELIG","Enrolled in PPMI Clinical protocol","NUMBER","1","","False","False"
"AVELIG","INPREGNT","AVELIG","Women may not be pregnant, lactating or planning pregnancy during the study","NUMBER","1","","False","False"
"AVELIG","LAST_UPDATE","AVELIG","Date of most recent update to record","DATE","","","True","False"
"AVELIG","ORIG_ENTRY","AVELIG","Date of original data entry","DATE","","","True","False"
"AVELIG","PAG_NAME","AVELIG","Page Name","CHAR","12","","True","False"
"AVELIG","PATNO","AVELIG","Participant ID","NUMBER","18","0","True","False"
"AVELIG","QUERY","AVELIG","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVELIG","REC_ID","AVELIG","Record ID","CHAR","36","","True","True"
"AVELIG","SIGNCNST","","Signed Consent","CHAR","1","","",""
"AVIMAG","","AVIMAG","Early Imaging AV-133 Imaging","","","","",""
"AVIMAG","CNO","AVIMAG","Site Number","NUMBER","12","0","True","False"
"AVIMAG","DIASUPAF","AVIMAG","Supine BP - diastolic - after injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","DIASUPBF","AVIMAG","Supine BP - diastolic - before injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","EVENT_ID","AVIMAG","Visit ID","CHAR","3","","True","False"
"AVIMAG","HRSUPAF","AVIMAG","Supine heart rate - after injection (bpm)","NUMBER","12","0","False","False"
"AVIMAG","HRSUPBF","AVIMAG","Supine heart rate - before injection (bpm)","NUMBER","12","0","False","False"
"AVIMAG","INFODT","AVIMAG","Assessment Date","DATE","","","True","False"
"AVIMAG","INJECTTM","AVIMAG","Time of Injection","TIME","","","False","False"
"AVIMAG","INVEVLAF","AVIMAG","Study physician able to evaluate after injection","NUMBER","1","","False","False"
